"Product Attributes","Product Attributes"
"Add New Attribute","Add New Attribute"
"Save in New Attribute Set","Save in New Attribute Set"
"Enter Name for New Attribute Set","Enter Name for New Attribute Set"
"Save and Continue Edit","Save and Continue Edit"
Back,Back
Reset,Reset
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save Attribute","Save Attribute"
"Delete Attribute","Delete Attribute"
"Edit Product Attribute ""%1""","Edit Product Attribute ""%1"""
"New Product Attribute","New Product Attribute"
"Advanced Attribute Properties","Advanced Attribute Properties"
"Attribute Code","Attribute Code"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","This is used internally. Make sure you don't use spaces or more than %1 symbols."
"Default Value","Default Value"
"Unique Value","Unique Value"
"Unique Value (not shared with other products)","Unique Value (not shared with other products)"
"Not shared with other products","Not shared with other products"
"Input Validation for Store Owner","Input Validation for Store Owner"
"Store View","Store View"
Website,Website
Global,Global
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Include in Attribute Set","Include in Attribute Set"
"Include this Attribute in Attribute Sets","Include this Attribute in Attribute Sets"
"Sort Order","Sort Order"
"Attribute Information","Attribute Information"
Properties,Properties
"Manage Labels","Manage Labels"
"Reset Filter","Reset Filter"
Search,Search
Name,Name
"For internal use","For internal use"
"Based On","Based On"
"Edit Attribute Set Name","Edit Attribute Set Name"
"Create New Attribute Set","Create New Attribute Set"
Save,Save
"Edit Attribute Set","Edit Attribute Set"
"Add New Attribute Set","Add New Attribute Set"
"Add Attribute Set","Add Attribute Set"
"Attribute Sets","Attribute Sets"
"We can't delete the attribute.","We can't delete the attribute."
"You deleted the product attribute.","You deleted the product attribute."
"We can't find an attribute to delete.","We can't find an attribute to delete."
"This attribute no longer exists.","This attribute no longer exists."
"This attribute cannot be edited.","This attribute cannot be edited."
"Edit Product Attribute","Edit Product Attribute"
"Vendor Product Attribute","Vendor Product Attribute"
"Attribute set is not allowed.","Attribute set is not allowed."
"An attribute set named '%1' already exists.","An attribute set named '%1' already exists."
"Something went wrong while saving the attribute.","Something went wrong while saving the attribute."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","We can't update the attribute."
"You saved the product attribute.","You saved the product attribute."
"An attribute with this name already exists.","An attribute with this name already exists."
"An attribute with the same name (%1) already exists.","An attribute with the same name (%1) already exists."
"New Attribute Set","New Attribute Set"
"The attribute set has been removed.","The attribute set has been removed."
"We can't delete this set right now.","We can't delete this set right now."
"New Set","New Set"
"This attribute set no longer exists.","This attribute set no longer exists."
"You saved the attribute set.","You saved the attribute set."
"Something went wrong while saving the attribute set.","Something went wrong while saving the attribute set."
"These changes affect all related products.","These changes affect all related products."
"Enable Vendor Product Attribute","Enable Vendor Product Attribute"
"Text Field","Text Field"
"Text Area","Text Area"
Date,Date
Yes/No,Yes/No
"Multiple Select","Multiple Select"
Dropdown,Dropdown
"Manage Attribute","Manage Attribute"
"Manage Attribute Set","Manage Attribute Set"
Set,Set
